LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CPIFORECAST,TOT,AGRWTH,A,2000,3.366683342,
USA,CPIFORECAST,TOT,AGRWTH,A,2001,2.816628757,
USA,CPIFORECAST,TOT,AGRWTH,A,2002,1.595669569,
USA,CPIFORECAST,TOT,AGRWTH,A,2003,2.297998517,
USA,CPIFORECAST,TOT,AGRWTH,A,2004,2.667572464,
USA,CPIFORECAST,TOT,AGRWTH,A,2005,3.365829988,
USA,CPIFORECAST,TOT,AGRWTH,A,2006,3.22208945,
USA,CPIFORECAST,TOT,AGRWTH,A,2007,2.870550296,
USA,CPIFORECAST,TOT,AGRWTH,A,2008,3.814953399,
USA,CPIFORECAST,TOT,AGRWTH,A,2009,-0.320357593,
USA,CPIFORECAST,TOT,AGRWTH,A,2010,1.63656955,
USA,CPIFORECAST,TOT,AGRWTH,A,2011,3.139652277,
USA,CPIFORECAST,TOT,AGRWTH,A,2012,2.073190974,
USA,CPIFORECAST,TOT,AGRWTH,A,2013,1.465971551,
USA,CPIFORECAST,TOT,AGRWTH,A,2014,1.615463288,
USA,CPIFORECAST,TOT,AGRWTH,A,2015,0.121137233,
USA,CPIFORECAST,TOT,AGRWTH,A,2016,1.267360543,
USA,CPIFORECAST,TOT,AGRWTH,A,2017,2.13144495,
USA,CPIFORECAST,TOT,AGRWTH,A,2018,2.438999515,
USA,CPIFORECAST,TOT,AGRWTH,A,2019,1.812893561,
USA,CPIFORECAST,TOT,AGRWTH,A,2020,1.25127941,
USA,CPIFORECAST,TOT,AGRWTH,A,2021,4.682559791,
USA,CPIFORECAST,TOT,AGRWTH,A,2022,7.986481969,
